choice,confidence,rt,question,type,set,SID
1,100,14.787,10,2AFC,1,23
1,100,15.29,10,2AFC,1,24
0,100,17.196,10,2AFC,1,25
1,100,14.676,10,2AFC,1,26
0,73,10.165,10,2AFC,1,27
0,52,9.611,10,2AFC,1,28
1,77,5.433,10,2AFC,1,29
1,87,8.162,10,2AFC,1,30
1,74,7.39,10,2AFC,1,31
1,75,25.853,10,2AFC,1,32
1,72,20.041,10,2AFC,1,33
1,52,21.4,10,2AFC,1,34
1,91,6.962,10,2AFC,1,35
0,51,6.872,10,2AFC,1,36
1,80,25.982,10,2AFC,1,37
1,68,17.402,10,2AFC,1,38
1,52,8.8,10,2AFC,1,39
0,100,7.262,10,2AFC,1,40
1,80,4.934,10,2AFC,1,41
0,67,4.845,10,2AFC,1,42
0,51,6.949,10,2AFC,1,43
0,58,11.436,10,2AFC,1,44
1,72,4.763,10,2AFC,1,45
0,55,31.088,10,2AFC,1,46
0,95,7.49,10,2AFC,1,47
0,57,6.677,10,2AFC,1,48
1,100,11.396,10,2AFC,1,49
1,88,8.847,10,2AFC,1,50
1,78,36.846,10,2AFC,1,51
1,90,40.631,10,2AFC,1,52
1,85,4.821,10,2AFC,1,53
1,57,5.892,10,2AFC,1,54
0,70,20.628,10,2AFC,1,55
0,85,7.022,10,2AFC,1,56
1,100,11.416,10,2AFC,1,57
0,82,6.562,10,2AFC,1,58
1,61,11.145,11,2AFC,1,1
1,99,7.084,11,2AFC,1,2
0,52,5.792,11,2AFC,1,3
1,59,5.623,11,2AFC,1,4
1,85,5.06,11,2AFC,1,5
1,70,22.489,11,2AFC,1,6
1,56,7.799,11,2AFC,1,7
1,89,8.14,11,2AFC,1,8
1,100,2.565,11,2AFC,1,9
1,79,26.204,11,2AFC,1,10
1,51,8.766,11,2AFC,1,11
1,53,6.406,11,2AFC,1,12
1,86,7.02,11,2AFC,1,13
1,76,8.185,11,2AFC,1,14
0,80,8.072,11,2AFC,1,15
1,63,19.501,11,2AFC,1,16
1,55,7.396,11,2AFC,1,17
1,78,19.126,11,2AFC,1,18
1,72,7.164,11,2AFC,1,19
1,90,12.043,11,2AFC,1,20
1,95,9.861,11,2AFC,1,21
1,100,18.857,11,2AFC,1,22
1,100,37.065,11,2AFC,1,23
1,100,68.789,11,2AFC,1,24
1,100,5.761,11,2AFC,1,25
1,100,14.622,11,2AFC,1,26
1,64,11.732,11,2AFC,1,27
1,78,9.706,11,2AFC,1,28
1,58,6.848,11,2AFC,1,29
1,97,6.486,11,2AFC,1,30
1,100,12.675,11,2AFC,1,31
1,64,12.035,11,2AFC,1,32
1,100,9.487,11,2AFC,1,33
1,74,13.101,11,2AFC,1,34
1,83,4.668,11,2AFC,1,35
1,54,4.174,11,2AFC,1,36
0,70,5.601,11,2AFC,1,37
1,98,221.048,11,2AFC,1,38
1,80,9.543,11,2AFC,1,39
1,100,8.54,11,2AFC,1,40
1,83,4.602,11,2AFC,1,41
1,67,12.708,11,2AFC,1,42
1,51,7.075,11,2AFC,1,43
1,92,23.926,11,2AFC,1,44
1,86,16.364,11,2AFC,1,45
1,51,7.8,11,2AFC,1,46
1,100,6.049,11,2AFC,1,47
1,62,6.545,11,2AFC,1,48
1,100,10.822,11,2AFC,1,49
1,100,7.576,11,2AFC,1,50
1,80,8.474,11,2AFC,1,51
1,92,18.817,11,2AFC,1,52
1,85,5.199,11,2AFC,1,53
1,100,7.6,11,2AFC,1,54
1,60,9.336,11,2AFC,1,55
1,58,8.658,11,2AFC,1,56
1,100,11.271,11,2AFC,1,57
1,100,6.962,11,2AFC,1,58
1,100,4.113,12,2AFC,1,1
1,98,3.333,12,2AFC,1,2
1,100,5.383,12,2AFC,1,3
1,100,4.736,12,2AFC,1,4
1,100,6.92,12,2AFC,1,5
1,100,15.202,12,2AFC,1,6
0,65,5,12,2AFC,1,7
0,57,6.892,12,2AFC,1,8
1,74,24.8,12,2AFC,1,9
1,62,4.592,12,2AFC,1,10
1,59,5.266,12,2AFC,1,11
0,100,5.533,12,2AFC,1,12
0,55,8.2,12,2AFC,1,13
1,100,8.358,12,2AFC,1,14
1,100,8.02,12,2AFC,1,15
1,100,8.845,12,2AFC,1,16
1,100,5.714,12,2AFC,1,17
1,100,6.791,12,2AFC,1,18
1,100,7.978,12,2AFC,1,19
1,100,12.477,12,2AFC,1,20
1,93,5.948,12,2AFC,1,21
1,100,7.858,12,2AFC,1,22
1,100,46.686,12,2AFC,1,23
1,100,10.214,12,2AFC,1,24
0,100,8.245,12,2AFC,1,25
1,100,9.448,12,2AFC,1,26
1,100,9.869,12,2AFC,1,27
1,100,12.675,12,2AFC,1,28
0,67,6.365,12,2AFC,1,29
1,100,4.651,12,2AFC,1,30
1,100,6.973,12,2AFC,1,31
1,57,4.5,12,2AFC,1,32
1,100,5.318,12,2AFC,1,33
1,100,4.18,12,2AFC,1,34
0,94,4.385,12,2AFC,1,35
1,79,8.237,12,2AFC,1,36
1,65,7.735,12,2AFC,1,37
1,100,5.02,12,2AFC,1,38
1,74,6.887,12,2AFC,1,39
1,80,9.378,12,2AFC,1,40
0,100,5.557,12,2AFC,1,41
1,56,8.274,12,2AFC,1,42
1,100,9.158,12,2AFC,1,43
1,100,7.133,12,2AFC,1,44
1,60,8.082,12,2AFC,1,45
1,100,7.579,12,2AFC,1,46
1,100,5.474,12,2AFC,1,47
1,100,5.386,12,2AFC,1,48
1,100,4.278,12,2AFC,1,49
1,100,6.369,12,2AFC,1,50
1,100,6.638,12,2AFC,1,51
1,100,7.358,12,2AFC,1,52
1,87,5.142,12,2AFC,1,53
1,100,4.778,12,2AFC,1,54
1,100,12.118,12,2AFC,1,55
0,100,6.622,12,2AFC,1,56
1,100,9.314,12,2AFC,1,57
1,100,5.577,12,2AFC,1,58
1,100,5.03,13,2AFC,1,1
1,100,3.696,13,2AFC,1,2
1,100,4.95,13,2AFC,1,3
1,100,4.669,13,2AFC,1,4
1,100,33.932,13,2AFC,1,5
1,100,3.477,13,2AFC,1,6
1,63,5.933,13,2AFC,1,7
1,99,7.491,13,2AFC,1,8
1,100,5.8,13,2AFC,1,9
1,100,8.3,13,2AFC,1,10
1,100,5.755,13,2AFC,1,11
1,100,5.4,13,2AFC,1,12
1,100,7.011,13,2AFC,1,13
1,100,4.901,13,2AFC,1,14
1,100,7.046,13,2AFC,1,15
1,100,4.064,13,2AFC,1,16
1,100,3.179,13,2AFC,1,17
1,100,3.812,13,2AFC,1,18
1,100,15.337,13,2AFC,1,19
1,100,5.977,13,2AFC,1,20
1,100,16.879,13,2AFC,1,21
1,100,4.994,13,2AFC,1,22
1,100,5.566,13,2AFC,1,23
1,100,28.726,13,2AFC,1,24
1,100,6.685,13,2AFC,1,25
1,100,4.179,13,2AFC,1,26
1,85,6.684,13,2AFC,1,27
0,61,9.14,13,2AFC,1,28
1,100,5.681,13,2AFC,1,29
1,100,3.7,13,2AFC,1,30
1,100,5.507,13,2AFC,1,31
1,51,4.964,13,2AFC,1,32
1,100,5.616,13,2AFC,1,33
1,51,4.956,13,2AFC,1,34
1,100,4.288,13,2AFC,1,35
1,100,5.98,13,2AFC,1,36
1,95,6.333,13,2AFC,1,37
